station,total_docks,lon,lat,nearest_junior_high_distance,nearest_university_distance,nearest_mrt_distance,nearest_bus_distance,district
遠雄左岸,50,121.48808,25.00983,538.06,2920.45,425.45,25.69,中和區
鄧公路30巷,15,121.45241,25.16979,441.94,599.25,703.32,107.87,淡水區
醒吾科技大學(粉寮路),26,121.39804,25.08048,237.14,74.87,6225.54,8.14,林口區
重慶國小,41,121.46253,24.99373,55.54,1805.89,1129.19,137.9,板橋區
重慶國小(和平路101巷),21,121.46216,24.99537,240.47,1619.77,1014.12,54.42,板橋區
重慶路89巷,13,121.46206,25.00633,447.53,476.44,384.49,39.2,板橋區
重新橋第1市民活動中心,15,121.48563,25.05355,404.72,5563.42,258.63,235.53,三重區
重新路五段(心天匯社區),40,121.46815,25.04468,331.38,3998.29,340.92,49.66,三重區
重新重安街口,35,121.48975,25.05844,298.95,6240.55,165.91,106.45,三重區
重陽公園,41,121.484,25.0857,171.41,7951.74,688.99,152.47,蘆洲區
重陽國小,61,121.48488,25.0662,412.36,6801.3,928.04,78.83,三重區
重陽橋市民活動中心,15,121.49602,25.08634,1373.13,8956.2,1415.84,49.97,三重區
野柳地質公園,60,121.69042,25.20428,482.05,7586.12,16054.06,45.83,萬里區
金城?廷街口,9,121.46864,24.98814,285.53,1990.16,1967.71,32.45,土城區
金城峯廷街口,9,121.46864,24.98814,285.53,1990.16,1967.71,32.45,土城區
金城忠義路口,40,121.44024,24.9691,392.16,1773.72,376.44,30.7,土城區
金城明德路口(東北側),18,121.45311,24.98078,576.39,894.52,662.43,133.89,土城區
金城立德路口,47,121.46602,24.98689,266.77,1728.36,1694.26,13.3,土城區
金城立體停車場,60,121.45795,24.98367,504.79,1122.44,927.0,151.5,土城區
金城裕民路口(中正國中),54,121.45619,24.98288,464.27,1035.73,786.49,43.48,土城區
金城裕民路口(金城舞社區),40,121.45466,24.98156,565.13,918.8,718.63,9.84,土城區
金城路三段156號前,15,121.46708,24.98728,246.08,1822.18,1803.12,123.43,土城區
金城路三段52巷,16,121.46609,24.98635,212.84,1681.11,1700.06,69.68,土城區
金城路二段61巷口(聯邦銀行),40,121.45077,24.97886,258.79,866.8,744.74,48.44,土城區
金城龍山二街口,20,121.45096,24.97881,268.35,848.96,755.23,56.49,土城區
金山八德街,24,121.63469,25.22365,238.98,1640.83,15876.84,72.22,金山區
金山立體停車場(中興路),15,121.64169,25.22043,363.94,2419.74,15689.29,63.4,金山區
金美國小,20,121.63633,25.21973,228.12,2055.56,15486.06,249.81,金山區
金龍公園,42,121.63153,25.06947,225.29,7996.52,1850.25,118.23,汐止區
金龍國小,29,121.62867,25.0691,209.91,7835.62,1593.97,13.41,汐止區
錦和運動公園,64,121.49073,24.99213,696.43,2173.0,1262.45,31.95,中和區
錦和高中,28,121.49076,24.99351,564.9,2267.67,1126.84,85.24,中和區
鎮前街347巷口,16,121.41638,24.98419,264.8,2365.0,2685.89,50.2,樹林區
長壽親子公園,26,121.42203,24.9917,147.4,3152.27,2769.27,138.36,樹林區
長安橋(吉祥街12巷),43,121.66846,25.08033,218.86,11087.14,5710.78,145.94,汐止區
長安街251巷,16,121.47236,25.01063,189.72,1340.56,429.63,171.4,板橋區
長榮路211巷口,17,121.46108,25.08478,276.58,6271.42,815.64,51.01,蘆洲區
長榮龍濱路口,19,121.50238,25.06908,362.71,7915.33,597.79,92.43,三重區
長泰街40巷口,17,121.37811,24.93234,607.1,975.97,5021.86,48.48,三峽區
長興光華路186巷口,13,121.46429,25.08285,466.2,6308.41,905.31,86.15,蘆洲區
長興橋,15,121.67187,25.08055,309.03,11333.31,6037.19,29.36,汐止區
長興街二段62號,13,121.67449,25.08192,609.91,11623.75,6339.11,179.73,汐止區
長青公園,11,121.45662,25.04246,334.76,3361.85,471.47,184.92,新莊區
長風社區,30,121.43937,24.97811,333.85,1858.03,725.46,54.05,土城區
開元市民活動中心,36,121.50356,25.06607,610.38,7706.74,477.71,116.99,三重區
陸光國宅,20,121.43232,25.08832,768.57,3489.39,3240.83,12.48,五股區
陽光Park社區,21,121.51555,24.9794,159.05,785.83,1263.51,250.02,新店區
陽光橋,76,121.52477,24.97924,778.02,1244.42,651.99,90.21,新店區
集成成功路口,35,121.48821,25.05154,594.1,5502.54,590.57,52.86,三重區
集美街58巷口(東北側),16,121.48833,25.055,225.01,5837.74,359.92,76.12,三重區
集賢三信路口(南側),17,121.49187,25.08861,992.28,8771.55,1401.94,62.45,三重區
雍和科學園區,33,121.62602,25.05808,583.33,6615.54,837.98,22.71,汐止區
雙十萬板路口,26,121.47718,25.02538,499.68,2524.03,662.98,68.92,板橋區
雙和公園,11,121.50883,25.00229,303.95,2458.9,215.06,196.46,永和區
雙和橋,39,121.50574,25.00573,269.28,2846.83,645.06,130.19,永和區
雙和醫院,37,121.49411,24.99367,439.57,2036.99,979.63,12.91,中和區
雙和醫院(圓通路252巷口),36,121.49373,24.99092,746.02,1853.05,1135.35,30.23,中和區
雙城公園(安康路),13,121.49035,24.95176,934.1,1984.24,4567.24,80.76,新店區
雙城國小,15,121.48628,24.95186,1337.17,2387.49,4795.76,6.65,新店區
雙溪車站,55,121.8665,25.03914,642.64,19311.08,25071.79,77.98,雙溪區
雙鳳公園,11,121.41398,25.02644,165.04,1051.25,456.55,166.39,新莊區
雲溪廣場(青雲路183巷),15,121.45961,24.9827,605.67,1042.12,1120.89,50.12,土城區
青山國民中小學,56,121.65559,25.06103,50.82,8627.27,3812.44,25.65,汐止區
青山廣場,42,121.45987,24.97793,918.04,555.18,1380.79,82.8,土城區
青潭國小,27,121.55181,24.9531,377.77,2940.85,1528.33,15.33,新店區
青潭河濱公園,20,121.5474,24.95091,872.51,2957.18,1254.55,70.43,新店區
青隆青福街口,20,121.45665,24.97974,805.72,683.97,1000.74,198.95,土城區
青雲路411巷口(樂晴市樂郡區社區),39,121.45911,24.97582,1027.63,317.72,1414.95,155.01,土城區
青雲路434巷口,18,121.45915,24.97193,1174.66,276.56,1413.48,58.2,土城區
青雲路451巷口(紐約艾美社區),41,121.45873,24.97475,1014.44,206.32,1362.02,30.08,土城區
音樂公園,57,121.48039,25.02856,321.33,3002.37,751.76,40.83,板橋區
頂埔國小,40,121.4144,24.95636,161.66,2604.63,491.87,18.98,土城區
頂埔市場,29,121.41504,24.95816,365.27,2513.4,345.71,185.03,土城區
頂崁公園,24,121.4756,25.05493,755.89,5300.14,777.39,129.1,三重區
頂崁街210巷28弄口,15,121.47586,25.06803,466.73,6143.35,1423.49,158.18,三重區
頂新公園,21,121.41425,24.95397,166.91,2791.12,691.21,221.65,土城區
頂新祖田市民活動中心,43,121.41211,24.95319,261.43,2726.74,898.06,16.16,土城區
頂溪國小,44,121.51126,25.01581,7.43,3975.37,457.27,3.45,永和區
頂溪國小地下停車場,13,121.51057,25.01452,165.38,3826.8,492.45,137.62,永和區
頂罟公園,15,121.40413,25.1533,794.94,4000.28,4463.87,44.03,八里區
順德街(御中央3社區),36,121.53,24.9789,500.85,746.56,634.72,127.09,新店區
頭前國中,51,121.45916,25.05444,411.47,3951.33,489.87,60.76,新莊區
頭前國小,46,121.46506,25.05257,590.79,4429.83,564.7,116.92,新莊區
頭前國小(化成路),12,121.46624,25.0535,492.11,4575.8,719.44,22.51,新莊區
頭前運動公園,60,121.46211,25.05165,670.53,4115.56,260.5,103.75,新莊區
頭前運動公園(頭前路),22,121.46362,25.05237,639.32,4285.3,429.8,83.54,新莊區
頭湖國小,27,121.37268,25.08167,177.11,2619.19,7701.05,9.27,林口區
飛駝二村,11,121.51138,24.9836,426.7,522.7,674.16,7.16,中和區
飛駝社區(興南路),40,121.50483,24.98347,461.77,471.51,834.26,33.08,中和區
香社一藝文街口(歡喜市社區),40,121.451,25.0208,306.23,1405.86,1370.59,19.23,板橋區
馥華公園,53,121.44564,25.00607,286.34,286.34,1057.86,28.78,板橋區
馬偕醫學大學(圓環),20,121.49571,25.25438,695.54,705.96,10826.0,156.42,三芝區
馬偕醫學大學(第二教研大樓),26,121.49559,25.25303,801.32,698.35,10687.77,169.8,三芝區
鳳一鳳吉一街口,20,121.3317,24.97677,944.68,6029.76,8946.01,121.29,鶯歌區
鳳七鶯歌路口,11,121.33193,24.96916,198.3,5489.81,8778.66,123.17,鶯歌區
鳳三龍七路口,18,121.33467,24.97204,406.64,5461.55,8551.64,163.85,鶯歌區
鳳五路122號前,18,121.32991,24.97316,648.5,5915.84,9045.52,197.06,鶯歌區
鳳吉四鳳七路口(捷士匯社區),40,121.32769,24.97383,852.58,6139.66,9278.76,93.08,鶯歌區
鳳祥公園,20,121.33025,24.96283,689.97,5271.28,8888.42,337.89,鶯歌區
鳳福公園,20,121.32938,24.97572,917.64,6133.43,9150.51,41.27,鶯歌區
鳳福鳳三路口,22,121.33143,24.97567,832.98,5970.61,8946.97,20.6,鶯歌區
鳳鳴國小,20,121.3347,24.9692,124.96,5265.41,8502.24,32.98,鶯歌區
鳳鳴機器人公園,17,121.33465,24.96618,271.38,5077.0,8470.55,73.29,鶯歌區
鴨母港停車場,14,121.45584,25.08283,382.87,5761.74,1301.81,110.34,蘆洲區
鴨母港抽水站,30,121.45673,25.08294,294.49,5847.57,1232.57,32.49,蘆洲區
鶯歌國中,30,121.34256,24.95119,322.97,3620.53,7689.95,33.65,鶯歌區
鶯歌國民運動中心,38,121.35733,24.95139,1016.67,2265.64,6209.52,265.45,鶯歌區
鶯歌永利街,15,121.33911,24.95495,147.43,4091.68,8001.46,69.02,鶯歌區
鶯歌火車站(仁愛路),59,121.35441,24.95559,488.51,2768.22,6457.47,16.58,鶯歌區
鶯歌火車站(仁愛路62號),42,121.35407,24.95505,545.12,2761.74,6495.43,73.17,鶯歌區
鶯歌火車站(文化路),25,121.35697,24.95536,603.25,2547.32,6201.43,138.48,鶯歌區
鶯歌老街第二停車場,20,121.34227,24.94895,91.31,3578.98,7750.86,242.96,鶯歌區
鶯歌陶瓷博物館,22,121.35245,24.95012,668.99,2643.6,6716.51,18.27,鶯歌區
鶯歌陶瓷老街,33,121.351,24.95219,494.53,2871.02,6831.97,99.35,鶯歌區
鷺江國中(長興路298巷),15,121.46106,25.09005,258.35,6365.98,380.75,138.9,蘆洲區
鷺江廣場,32,121.47769,25.08562,409.23,7468.64,417.13,83.99,蘆洲區
鹿角溪公園,13,121.39591,24.97151,307.25,184.09,2635.53,214.94,樹林區
麗林公有市場,28,121.36776,25.06912,661.79,3374.8,6840.91,147.19,林口區
麗水富貴路口(聯合公園社區),50,121.45162,25.05697,383.25,3420.71,967.23,209.22,新莊區
黃城公園,38,121.44824,25.05238,296.25,2864.02,1225.26,42.62,新莊區
黃城公園(中榮街),11,121.44883,25.05277,282.61,2937.03,1177.22,96.63,新莊區
黃石中繼市場,20,121.45699,25.0125,156.84,314.28,421.4,80.23,板橋區
龍三鳳鳴路口,18,121.33137,24.97286,542.88,5778.74,8894.83,54.44,鶯歌區
龍五鳳七路口,30,121.33101,24.97043,351.04,5646.84,8889.15,224.35,鶯歌區
龍埔三樹路98巷口,42,121.38393,24.93989,742.32,742.32,4066.66,106.55,三峽區
龍埔介壽路口,30,121.39008,24.93513,1239.35,1502.02,3891.23,91.62,三峽區
龍埔公園,28,121.3742,24.93841,54.75,382.67,5003.45,162.76,三峽區
龍埔國小,35,121.37676,24.94104,8.97,8.97,4642.47,73.74,三峽區
龍埔自行車道(民生街1巷),20,121.37824,24.93455,644.29,736.56,4870.2,228.37,三峽區
龍安成德街口,12,121.42267,25.0191,76.34,1147.69,1072.16,50.41,新莊區
龍安福營路口,15,121.41931,25.02022,284.4,1116.81,727.04,81.76,新莊區
龍形停車場,40,121.4513,25.13041,437.33,4754.11,1084.22,5.91,八里區
龍恩公園,26,121.37052,24.94135,441.09,621.54,5204.69,47.43,三峽區
龍濱公園,14,121.50218,25.07298,517.29,8270.08,609.72,5.67,三重區
龍米河濱公園,20,121.44684,25.14455,1204.29,3168.72,1525.27,15.44,八里區
龍米路二段205巷口,22,121.43231,25.1585,1333.22,1849.57,1675.07,41.65,八里區
龍門公園,48,121.49848,25.07482,595.44,8259.53,497.48,165.25,三重區
龍門運動公園,20,121.93129,25.02706,1384.65,25141.43,31689.3,20.07,貢寮區
龍門龍濱路口,30,121.50098,25.07348,496.47,8255.01,533.81,101.75,三重區
龍鳳公園,52,121.416898,25.021434,459.74,1129.2,453.69,62.87,新莊區
龍鳳夜市,30,121.33331,24.97329,536.7,5655.65,8710.54,148.14,鶯歌區
龜吼停車場,11,121.68602,25.1956,831.64,7662.64,15005.85,37.62,萬里區
龜山活動中心,8,121.55224,24.90303,200.25,6570.52,6271.3,28.95,新店區
