station,total_docks,lon,lat,nearest_junior_high_distance,nearest_university_distance,nearest_mrt_distance,nearest_bus_distance,district
神農興德路口(恆美社區),40,121.47427,25.05333,563.63,5089.68,815.88,234.92,三重區
神農街/光復路二段129巷口,26,121.47409,25.05899,806.7,5532.76,1012.41,193.66,三重區
福和國中,63,121.52093,25.00595,185.22,3154.51,951.49,43.21,永和區
福和國中(永利路),22,121.52033,25.00432,232.14,2964.69,968.51,131.64,永和區
福和國中停車場,48,121.52267,25.00501,208.17,3139.74,1141.65,147.49,永和區
福和宮,57,121.50195,25.00111,234.26,2399.16,563.65,110.05,中和區
福和橋,41,121.52785,25.00454,458.53,3334.75,1100.2,67.87,永和區
福和自強街28巷口,19,121.51572,25.00725,287.04,3112.26,628.45,119.49,永和區
福和路7巷口,35,121.52473,25.00854,239.25,3583.75,1056.3,89.7,永和區
福基公園,40,121.46086,25.05816,465.37,4287.81,394.0,151.13,新莊區
福壽公園,46,121.45758,25.05151,220.93,3680.17,300.83,31.32,新莊區
福壽昌智路口,30,121.45804,25.05614,358.93,3931.78,627.9,181.08,新莊區
福德一路201巷口(福德ONE社區),37,121.6351,25.06575,629.58,7801.56,1991.14,26.87,汐止區
福德一路392巷41弄口,20,121.62637,25.06314,493.01,7136.86,1065.16,56.11,汐止區
福德一路392巷口,20,121.62754,25.06098,321.98,6972.39,1124.38,35.41,汐止區
福德二街35號,15,121.4623,25.05719,328.04,4367.59,548.9,316.57,新莊區
福德二路19巷口,12,121.63533,25.06841,550.5,8070.24,2123.78,40.83,汐止區
福慧新知八路口,20,121.45519,25.06204,807.51,4041.64,464.75,246.05,新莊區
福民市民活動中心,15,121.53305,24.97293,282.52,450.7,313.83,97.88,新店區
福營國中,15,121.42198,25.02532,81.5,489.32,385.85,120.41,新莊區
福營行政中心,43,121.42387,25.02413,153.5,581.64,528.19,49.69,新莊區
福祥永和路口,11,121.49938,25.00365,499.6,2742.63,332.2,65.77,中和區
福祥里(中和溝),39,121.49957,25.00593,620.9,2979.35,516.95,159.27,中和區
福祿1號公園,15,121.4638,25.06386,686.92,4866.68,479.19,139.53,新莊區
福美公園,45,121.46106,25.05503,544.95,4152.86,553.02,113.5,新莊區
福順街,13,121.41555,24.97913,497.1,2047.84,2145.52,174.69,樹林區
秀山公園(北側),14,121.52327,24.99592,307.54,2342.42,621.45,104.09,中和區
秀山國小,70,121.52192,24.99612,242.77,2271.45,691.1,65.93,中和區
秀峰國小(仁愛路106巷),16,121.66294,25.06266,139.12,9279.42,4572.9,96.72,汐止區
秀峰高中(忠孝東路),16,121.66172,25.06635,139.74,9481.65,4544.75,20.68,汐止區
